origin_country,total_flights,avg_velocity,on_ground
Algeria,6,187.31500000000003,0
Angola,4,156.3225,0
Argentina,5,142.652,0
Armenia,1,225.86,0
Australia,327,99.4348623853211,76
Austria,127,165.3172440944882,13
Azerbaijan,3,139.33,1
Bahrain,3,261.2766666666667,0
Bangladesh,17,81.04294117647059,2
Belarus,3,99.10666666666667,0
Belgium,29,96.83103448275861,11
Bhutan,3,220.48666666666668,0
Brazil,32,228.73499999999999,1
Brunei Darussalam,2,225.81,0
Bulgaria,10,195.018,1
Canada,115,153.50852173913043,25
Chile,15,215.034,1
China,163,177.53447852760735,23
Colombia,2,237.38,0
Croatia,15,176.93066666666667,1
Cyprus,1,11.32,1
Czech Republic,22,138.3061904761905,4
Côte d'Ivoire,1,241.47,0
Denmark,38,165.13184210526316,2
Dominican Republic,2,224.445,0
Egypt,14,184.56571428571428,1
Estonia,6,176.75166666666667,0
Ethiopia,9,220.92333333333332,0
Finland,49,151.7538775510204,7
France,179,148.36888268156423,27
Georgia,3,92.52666666666669,2
Germany,252,148.7940873015873,41
Greece,66,120.82045454545454,16
Hungary,47,160.5431914893617,8
Iceland,2,178.52499999999998,0
India,174,175.40580459770115,10
Indonesia,31,166.73032258064518,0
Ireland,299,190.0891638795987,22
Israel,36,168.87027777777777,1
Italy,41,122.16975609756098,5
Japan,213,167.15910798122064,17
Jordan,3,199.08333333333334,0
Kenya,1,134.63,0
Kingdom of the Netherlands,109,171.41981651376145,11
Kuwait,1,239.87,0
Kyrgyzstan,1,34.96,0
Lao People's Democratic Republic,1,156.46,0
Latvia,32,141.8234375,4
Lebanon,3,142.08333333333334,0
Libyan Arab Jamahiriya,1,195.33,0
Lithuania,22,151.485,5
Luxembourg,20,185.6465,2
Malaysia,47,177.02170212765958,1
Malta,151,186.70708609271523,9
Mexico,35,183.894,3
Mongolia,2,217.7,0
Morocco,11,201.9390909090909,0
Myanmar,4,203.69,0
New Zealand,47,91.35361702127659,5
Norway,60,146.43866666666665,5
Oman,3,203.64666666666665,0
Pakistan,5,199.92000000000002,0
Panama,16,190.21937499999999,3
Peru,1,143.01,0
Philippines,45,134.9586666666667,8
Poland,95,172.49978947368422,6
Portugal,42,133.8204761904762,15
Qatar,18,225.99277777777777,0
Republic of Korea,99,177.99626262626265,6
Republic of Moldova,3,198.37666666666667,0
Romania,14,167.3114285714286,0
Russian Federation,32,233.130625,2
Rwanda,1,94.35,0
San Marino,7,145.6642857142857,1
Saudi Arabia,8,164.5325,1
Serbia,13,136.0553846153846,1
Singapore,36,175.32527777777779,4
Slovakia,1,218.61,0
Slovenia,3,169.21666666666667,0
South Africa,20,116.76199999999999,3
Spain,195,168.02482051282053,15
Sri Lanka,3,159.30666666666664,0
Sweden,98,168.59051020408162,7
Switzerland,93,140.3962365591398,21
Taiwan,67,168.47358208955222,6
Thailand,50,167.81260000000003,2
Tunisia,10,215.15699999999998,0
Turkey,205,203.38224390243903,4
Turkmenistan,2,152.64,0
Ukraine,3,226.02666666666667,0
United Arab Emirates,64,207.92125,3
United Kingdom,448,186.6236160714286,35
United States,887,161.8305524239008,119
Uzbekistan,7,211.08571428571426,0
Viet Nam,6,195.82000000000002,0
